ip,sn,dx,dz,shiftMagnitude,beforeMeanAbsResidual,afterMeanAbsResidual,depthPath
192.168.101.100,3G506401BE08818,0.46875,0.03515625,0.4700665106280839,0.2813529113314746,0.10074871249259211,E:\steel-capture-data\continuous-test\calibration-retake-20260707-142028\192_168_101_100\depth\round-001-shot-0002_depthMap.png
192.168.102.100,3G506501CA09165,0.0,-0.0234375,0.0234375,0.06337257884261417,0.06144691153922287,E:\steel-capture-data\continuous-test\calibration-retake-20260707-142028\192_168_102_100\depth\round-001-shot-0005_depthMap.png
192.168.103.100,3G506401RE08993,-0.03515625,-0.046875,0.05859375,0.06758823724597388,0.05806903933277233,E:\steel-capture-data\continuous-test\calibration-retake-20260707-142028\192_168_103_100\depth\round-001-shot-0003_depthMap.png
192.168.104.100,3G506401BE08819,-0.10546875,0.0,0.10546875,0.08607957893967176,0.07035715398893015,E:\steel-capture-data\continuous-test\calibration-retake-20260707-142028\192_168_104_100\depth\round-001-shot-0001_depthMap.png
192.168.105.13,YF-0263,-0.05859375,0.046875,0.0750366121574162,0.06329075914069132,0.056034113045586455,E:\steel-capture-data\continuous-test\calibration-retake-20260707-142028\192_168_105_13\depth\round-001-shot-0006_depthMap.png
192.168.106.100,3G506401RE08991,-0.046875,-0.046875,0.06629126073623882,0.12115894755338374,0.118240873769407,E:\steel-capture-data\continuous-test\calibration-retake-20260707-142028\192_168_106_100\depth\round-001-shot-0004_depthMap.png
